age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
1,4,1,11,5,2,3,0,4,1,0,0,3,39
0,4,0,11,5,2,3,0,4,1,0,0,3,12
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,3,0,4,1,0,0,4,39
6,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,4,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,4,39
5,4,1,11,5,2,14,0,4,1,0,0,3,20
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,6,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,1,0,3,39
5,4,0,11,5,0,3,1,4,1,1,0,4,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,14,0,4,1,0,0,3,39
1,4,1,11,5,2,14,0,4,1,0,0,3,39
1,4,1,11,5,2,14,0,4,1,0,0,5,39
5,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,12,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,1,0,4,1,0,0,3,39
3,4,0,11,5,2,4,0,4,1,0,0,6,39
3,4,0,11,5,2,7,0,4,1,0,0,3,39
1,4,0,11,5,2,14,0,4,1,0,0,6,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
2,4,1,11,5,2,4,0,4,1,0,0,3,39
0,4,0,11,5,4,3,3,4,1,0,0,3,39
2,4,0,11,5,2,14,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,6,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,4,39
1,4,1,15,6,2,12,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
0,0,1,15,6,4,0,3,4,1,0,0,3,39
3,4,1,11,5,2,4,0,4,1,0,0,6,39
0,6,1,15,6,4,3,3,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,2,0,11,5,2,11,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,4,0,4,1,0,0,3,39
3,4,0,11,5,2,12,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,0,1,0,0,3,39
1,4,1,15,6,2,4,0,4,1,0,0,4,39
4,4,0,11,5,2,3,0,4,1,1,0,3,39
1,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
1,4,0,11,5,2,7,0,4,1,0,0,3,39
5,4,0,11,5,2,14,0,4,1,0,0,6,39
1,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,0,15,6,2,12,0,4,1,0,0,6,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
6,0,0,11,5,2,0,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
0,4,1,11,5,4,1,4,4,0,0,0,3,39
4,4,1,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,12,0,4,1,0,0,3,39
1,4,0,11,5,4,3,1,4,1,0,0,3,39
4,4,1,11,5,2,3,0,4,1,0,0,4,39
1,4,0,11,5,2,1,0,4,1,0,4,3,39
4,4,0,11,5,2,13,0,4,1,0,0,3,39
3,4,1,12,8,4,1,1,4,0,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,15,6,2,1,0,4,1,0,0,3,39
4,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,14,0,4,1,0,0,4,39
3,4,1,11,5,2,14,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,1,11,5,0,13,1,4,0,0,0,3,39
1,4,1,11,5,2,3,0,4,1,0,0,3,39
1,2,1,8,6,2,11,0,4,1,0,0,3,39
1,4,1,15,6,2,14,0,2,1,0,4,4,39
2,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,12,0,4,1,0,0,3,39
1,4,0,11,5,2,12,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,7,39
5,2,1,11,5,0,11,1,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,9,8,2,4,0,4,1,1,0,5,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,4,0,4,1,0,0,4,39
6,4,0,11,5,2,13,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,12,0,4,1,0,0,5,39
3,4,0,11,5,0,1,1,4,0,0,0,4,39
1,4,0,11,5,4,12,1,4,0,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,3,0,4,1,0,0,4,39
1,4,0,11,5,2,14,0,4,1,0,0,4,39
1,4,0,11,5,2,4,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,6,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
6,4,1,11,5,2,12,0,4,1,0,0,6,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
1,4,1,11,5,2,4,0,4,1,0,0,3,39
3,2,1,12,8,2,10,0,2,1,0,0,4,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,6,2,2,8,0,2,1,0,0,2,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,1,11,5,2,4,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,1,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
1,4,0,11,5,2,14,0,4,1,0,0,3,39
3,2,1,12,8,2,10,0,2,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,3,39
1,2,1,11,5,2,11,0,4,1,0,0,7,39
4,2,0,12,8,2,10,0,4,1,0,0,3,39
2,4,0,9,8,2,4,0,4,1,1,0,4,39
3,4,0,11,5,2,14,0,4,1,0,0,4,39
3,4,0,11,5,2,5,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,15,6,2,12,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,6,39
1,4,0,15,6,2,12,0,4,1,0,0,4,39
3,4,0,11,5,2,14,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,12,0,4,1,0,4,3,39
1,4,0,11,5,2,3,0,4,1,0,0,6,39
1,2,0,11,5,2,11,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,12,0,4,1,0,0,3,39
3,4,0,11,5,2,12,0,4,1,0,0,5,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,7,0,4,1,0,0,3,39
3,2,0,11,5,2,14,0,4,1,0,0,3,39
3,4,1,9,8,2,1,0,4,1,0,0,3,39
1,4,0,15,6,2,3,0,0,1,0,0,4,39
3,4,0,11,5,2,12,0,4,1,0,0,3,39
4,4,1,11,5,2,7,0,4,1,0,0,4,39
3,4,0,11,5,0,3,1,0,1,0,0,3,39
4,4,0,11,5,2,7,0,4,1,0,0,4,39
4,4,0,11,5,2,12,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,5,39
1,4,0,11,5,2,7,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,4,39
1,4,1,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
6,0,0,11,5,2,0,0,4,1,0,0,1,39
1,4,0,11,5,2,14,0,4,1,0,0,3,39
2,2,1,12,8,2,10,0,4,1,0,0,5,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,1,1,0,0,3,39
5,6,0,11,5,2,5,0,4,1,0,0,6,39
5,4,1,11,5,2,14,0,4,1,0,0,3,39
3,4,1,11,5,2,5,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
6,0,1,11,5,2,0,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,5,39
4,4,1,11,5,2,3,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,4,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
1,4,0,11,5,2,7,0,4,1,0,0,4,39
0,0,0,15,6,4,0,2,1,0,0,0,3,30
3,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
2,4,1,12,8,2,4,0,4,1,0,0,4,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,2,0,11,5,2,11,0,4,1,0,0,4,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,7,0,4,1,0,0,4,39
5,4,1,9,8,2,4,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,12,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,2,1,11,5,2,11,0,4,1,0,0,5,39
1,4,0,9,8,2,12,0,4,1,0,0,3,39
5,4,0,11,5,2,1,0,4,1,0,0,6,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,9,8,2,1,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,7,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,14,0,4,1,0,0,4,39
4,4,0,11,5,2,6,0,4,1,0,0,3,39
2,4,0,11,5,2,3,0,4,1,0,0,4,39
5,4,1,11,5,2,4,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,13,0,4,1,0,0,3,39
1,4,0,11,5,2,7,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,4,39
3,2,0,11,5,2,11,0,4,1,0,0,4,39
5,5,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,14,0,4,1,0,0,4,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,15,6,2,12,0,4,1,0,0,3,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,12,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,5,39
3,4,1,11,5,2,14,0,4,1,0,0,6,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,5,3,1,0,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,7,0,4,1,0,0,3,39
3,4,1,11,5,2,7,0,4,1,0,0,3,39
1,4,0,15,6,2,6,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,0,1,0,0,6,39
5,4,1,11,5,2,12,0,4,1,0,4,3,39
4,4,1,12,8,2,10,0,4,1,0,0,5,39
2,4,0,8,6,2,3,0,4,1,0,0,3,39
1,4,0,11,5,3,6,3,0,1,0,0,3,39
3,4,0,8,6,2,7,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,4,39
4,2,1,15,6,2,11,0,0,1,0,0,4,39
2,4,0,9,8,2,12,0,4,1,0,0,3,39
6,0,0,11,5,2,0,0,4,1,0,0,2,39
4,4,0,11,5,2,6,0,4,1,0,0,3,39
4,4,0,11,5,2,4,0,4,1,0,0,6,39
1,4,1,11,5,2,7,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,13,0,4,1,0,0,3,39
3,4,0,11,5,2,1,0,4,1,0,0,3,39
3,4,0,11,5,2,4,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,0,1,0,0,3,39
3,4,0,11,5,2,4,0,4,1,0,0,3,39
3,4,0,11,5,2,5,0,4,1,0,0,3,39
3,4,0,12,8,2,10,0,4,1,0,0,6,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
5,4,0,11,5,2,7,0,4,1,0,0,3,39
1,4,0,11,5,2,14,0,4,1,0,0,5,39
6,4,1,9,8,2,12,0,4,1,0,0,3,39
5,4,0,11,5,2,14,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,14,0,4,1,0,0,6,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
6,0,1,5,2,2,0,0,4,1,0,0,3,39
4,2,0,12,8,2,10,0,4,1,0,0,3,39
3,4,0,11,5,4,3,1,4,1,0,0,3,39
1,6,1,11,5,2,3,0,4,1,0,0,6,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
6,2,0,11,5,2,11,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,0,1,0,0,3,39
3,4,0,15,6,2,4,0,4,1,0,0,4,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
0,4,0,11,5,4,6,3,0,1,0,0,3,39
3,4,1,11,5,2,4,0,4,1,0,0,6,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
4,2,1,12,8,2,10,0,4,1,0,0,4,39
1,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,9,8,2,4,0,4,1,0,0,4,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,0,3,1,4,1,0,0,4,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,4,0,4,1,0,0,3,39
4,2,0,12,8,2,10,0,4,1,0,0,4,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,4,39
1,4,0,11,5,2,14,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,1,11,5,2,7,0,4,1,0,0,3,4
4,4,0,11,5,2,14,0,4,1,0,0,3,39
5,4,0,11,5,2,14,0,4,1,0,0,6,39
3,2,1,11,5,2,13,0,4,1,0,0,3,39
3,4,0,11,5,2,4,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,4,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
1,2,0,11,5,2,11,0,4,1,0,0,9,39
3,4,1,11,5,2,14,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,7,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,0,1,0,0,3,39
1,4,0,11,5,4,3,1,0,0,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,5,39
1,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,14,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,1,11,5,2,7,0,4,1,0,0,3,39
1,4,1,11,5,2,7,0,4,1,0,0,4,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
5,4,1,11,5,2,14,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,4,39
3,4,1,11,5,2,4,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,4,39
5,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,5,39
1,4,0,11,5,2,14,0,4,1,0,3,4,39
3,4,1,11,5,2,4,0,2,1,0,0,3,39
1,4,0,11,5,2,4,0,0,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,14,0,4,1,0,0,3,39
3,4,1,11,5,2,7,0,2,1,0,0,3,39
6,4,1,11,5,2,12,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
6,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,1,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,6,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,0,1,0,0,3,39
3,4,0,9,8,2,4,0,4,1,0,0,6,39
3,4,0,11,5,2,12,0,4,1,0,0,3,39
3,4,1,11,5,2,7,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
1,4,0,8,6,2,3,0,4,1,0,0,4,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,4,39
5,4,0,15,6,2,14,0,2,1,0,4,4,39
1,4,1,11,5,2,7,0,4,1,0,0,3,39
3,4,1,11,5,2,12,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,0,15,6,2,4,0,4,1,0,0,4,39
4,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
6,0,0,11,5,2,0,0,1,1,0,0,0,3
4,4,0,11,5,2,14,0,4,1,0,0,4,39
4,4,1,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,14,0,4,1,0,0,3,39
4,4,1,11,5,2,7,0,4,1,0,0,4,39
1,4,0,15,6,2,12,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,4,0,4,1,0,4,5,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
5,4,1,9,8,2,12,0,4,1,0,0,5,20
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,12,8,2,4,0,4,1,1,0,7,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,0,11,5,2,12,0,4,1,0,0,4,39
4,4,0,11,5,2,14,0,4,1,0,0,6,39
1,4,0,11,5,0,1,1,4,0,0,0,4,39
3,2,0,11,5,2,3,0,0,1,0,0,3,39
4,4,1,11,5,2,14,0,4,1,0,0,5,39
1,4,1,15,6,2,4,0,4,1,0,0,3,39
1,4,0,11,5,4,3,1,4,1,1,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,12,0,4,1,0,0,5,39
3,4,0,11,5,2,14,0,4,1,0,0,6,39
6,4,0,11,5,2,13,0,4,1,0,0,3,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
3,4,0,11,5,2,12,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
3,4,0,11,5,2,7,0,4,1,0,0,3,39
3,4,1,11,5,2,14,0,4,1,0,0,3,39
1,4,1,11,5,2,3,0,4,1,0,0,3,39
5,4,0,11,5,2,14,0,4,1,0,0,5,39
3,4,0,11,5,2,4,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
2,4,1,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,4,6,3,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,6,0,4,1,0,0,3,39
1,4,0,11,5,2,12,0,4,1,0,0,4,39
3,0,1,11,5,2,0,0,4,1,0,0,3,39
1,4,1,11,5,2,7,0,4,1,0,0,3,39
1,2,1,11,5,2,6,0,4,1,0,0,3,31
4,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,14,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,7,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,0,1,0,0,3,39
1,4,0,15,6,2,3,0,4,1,0,0,3,39
2,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,14,0,4,1,0,0,3,39
4,4,0,11,5,2,14,0,4,1,0,0,3,39
6,4,0,11,5,2,12,0,4,1,0,0,3,39
5,4,1,11,5,2,7,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,1,12,8,2,10,0,4,1,0,0,3,39
1,4,1,11,5,2,3,0,4,1,0,0,3,39
5,4,1,11,5,2,14,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,1,11,5,2,3,0,4,1,0,0,4,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,13,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,8,6,2,13,0,4,1,0,0,3,39
1,4,0,11,5,2,6,0,4,1,0,0,6,39
3,4,0,11,5,2,3,0,4,1,0,0,4,39
1,4,1,9,8,2,12,0,4,1,0,0,4,39
5,4,0,11,5,2,14,0,2,1,0,0,4,39
1,4,0,11,5,2,7,0,3,1,0,0,3,6
3,4,1,11,5,2,7,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,3,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
0,4,1,15,6,4,1,3,4,0,0,0,2,39
3,4,0,12,8,2,10,0,4,1,0,0,6,39
3,4,1,15,6,2,12,0,4,1,1,0,6,20
1,4,0,11,5,2,3,0,0,1,0,0,3,39
1,4,0,11,5,2,4,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,4,39
4,4,1,11,5,2,13,0,4,1,0,0,4,39
3,4,0,11,5,2,4,0,4,1,0,0,3,39
5,4,0,11,5,2,14,0,4,1,0,0,4,39
2,4,0,9,8,2,4,0,4,1,0,0,5,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,1,12,8,2,12,0,4,1,0,0,3,39
3,4,1,9,8,2,4,0,4,1,0,0,3,39
5,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,1,0,4,1,0,0,3,39
5,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,4,0,4,1,1,0,3,39
3,4,1,11,5,2,7,0,4,1,0,0,4,39
1,4,1,8,6,2,3,0,4,1,0,0,4,39
5,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,4,39
3,4,1,11,5,2,7,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,0,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,12,0,4,1,0,0,6,39
3,4,0,11,5,2,12,0,4,1,0,0,3,39
3,4,1,11,5,2,14,0,4,1,0,0,9,39
3,4,0,11,5,2,14,0,4,1,0,0,3,39
1,4,0,11,5,2,3,0,0,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,14,0,4,1,0,0,6,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,7,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,4,39
1,4,0,11,5,2,14,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
1,4,0,11,5,4,3,1,4,1,0,0,3,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
1,2,0,11,5,2,11,0,4,1,0,0,3,39
4,2,0,11,5,2,14,0,4,1,0,0,4,39
3,4,1,11,5,2,4,0,4,1,0,0,4,39
4,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,3,0,4,1,0,0,4,39
1,4,0,11,5,2,6,0,4,1,0,0,6,39
3,4,0,11,5,2,8,0,4,1,0,0,3,39
3,4,0,11,5,2,12,0,4,1,0,0,3,39
1,4,0,15,6,2,6,0,4,1,0,0,4,39
1,4,0,11,5,2,3,0,4,1,0,0,3,39
4,4,0,11,5,2,4,0,4,1,0,0,3,39
3,4,0,11,5,2,3,0,4,1,0,0,3,39
3,4,0,11,5,2,1,0,4,1,0,4,4,39
4,4,1,11,5,2,3,0,4,1,0,0,3,39
3,4,1,11,5,2,6,0,4,1,0,0,3,39
